0,0.0005220,0.0003890
1,0.0003840,0.0003040
2,0.0002770,0.0002180
3,0.0002150,0.0001830
4,0.0001810,0.0001580
5,0.0001660,0.0001380
6,0.0001490,0.0001210
7,0.0001390,0.0001100
8,0.0001340,0.0001030
9,0.0001330,0.0001010
10,0.0001290,0.0001030
11,0.0001310,0.0001100
12,0.0001530,0.0001230
13,0.0001960,0.0001410
14,0.0002550,0.0001590
15,0.0003440,0.0001810
16,0.0004550,0.0002060
17,0.0005400,0.0002320
18,0.0005840,0.0002430
19,0.0006070,0.0002490
20,0.0006240,0.0002530
21,0.0006410,0.0002590
22,0.0006680,0.0002730
23,0.0007100,0.0002950
24,0.0007620,0.0003230
25,0.0008210,0.0003560
26,0.0008850,0.0003670
27,0.0009260,0.0003730
28,0.0009650,0.0003800
29,0.0010080,0.0003900
30,0.0010610,0.0004010
31,0.0011270,0.0004150
32,0.0012090,0.0004400
33,0.0013050,0.0004810
34,0.0014130,0.0005230
35,0.0015320,0.0005590
36,0.0016610,0.0005940
37,0.0018040,0.0006350
38,0.0019490,0.0006920
39,0.0020890,0.0007560
40,0.0022540,0.0008220
41,0.0024290,0.0008880
42,0.0026360,0.0009510
43,0.0028750,0.0010260
44,0.0031390,0.0011180
45,0.0034180,0.0012310
46,0.0037140,0.0013570
47,0.0040330,0.0014900
48,0.0043810,0.0016360
49,0.0047660,0.0018040
50,0.0051360,0.0019920
51,0.0055240,0.0022070
52,0.0059390,0.0024150
53,0.0063510,0.0026200
54,0.0067540,0.0028130
55,0.0071890,0.0030220
56,0.0076890,0.0032750
57,0.0083200,0.0035990
58,0.0090840,0.0040020
59,0.0100400,0.0044690
60,0.0109430,0.0049840
61,0.0116800,0.0054810
62,0.0125920,0.0059830
63,0.0136990,0.0065570
64,0.0149810,0.0072190
65,0.0164040,0.0079930
66,0.0178920,0.0088960
67,0.0194970,0.0099480
68,0.0213220,0.0111620
69,0.0233590,0.0125400
70,0.0255560,0.0140810
71,0.0279610,0.0157700
72,0.0305170,0.0175370
73,0.0332900,0.0195280
74,0.0362640,0.0217530
75,0.0394820,0.0242650
76,0.0429130,0.0270890
77,0.0466270,0.0302020
78,0.0506630,0.0336700
79,0.0550900,0.0374700
80,0.0599420,0.0416280
81,0.0652520,0.0462100
82,0.0709720,0.0512340
83,0.0772040,0.0567970
84,0.0838520,0.0629020
85,0.0910530,0.0696180
86,0.0988750,0.0772050
87,0.1073530,0.0854670
88,0.1167320,0.0947800
89,0.1271970,0.1050230
90,0.1392370,0.1167330
91,0.1531570,0.1308140
92,0.1669600,0.1481530
93,0.1820080,0.1650510
94,0.1984110,0.1838750
95,0.2162920,0.2048470
96,0.2357860,0.2282110
97,0.2570350,0.2542390
98,0.2802010,0.2832360
99,0.3054530,0.3155400
100,0.3329820,0.3515290
101,0.3629920,0.3916220
102,0.3957060,0.4362880
103,0.4313690,0.4860480
104,0.4702450,0.5414840
105,0.5126260,0.6032420
106,0.5588260,0.6720440
107,0.6091890,0.7486930
108,0.6640920,0.8340850
109,0.7239420,0.9292150
110,1.0000000,1.0000000
