0,0.021304
1,0.005749
2,0.003466
3,0.002033
4,0.001236
5,0.000913
6,0.000815
7,0.000752
8,0.000707
9,0.000663
10,0.000618
11,0.000591
12,0.000591
13,0.000645
14,0.000743
15,0.000878
16,0.00103
17,0.001173
18,0.001343
19,0.001495
20,0.001603
21,0.001766
22,0.001881
23,0.001955
24,0.002012
25,0.002064
26,0.00212
27,0.002192
28,0.002286
29,0.002393
30,0.002501
31,0.002594
32,0.002661
33,0.002697
34,0.002738
35,0.002827
36,0.00301
37,0.003331
38,0.003815
39,0.004411
40,0.00505
41,0.005661
42,0.006174
43,0.006541
44,0.006809
45,0.007042
46,0.00731
47,0.007678
48,0.0082
49,0.008872
50,0.009675
51,0.010589
52,0.011598
53,0.012686
54,0.013862
55,0.01576
56,0.017813
57,0.019856
58,0.021753
59,0.023702
60,0.026037
61,0.02834
62,0.030852
63,0.033593
64,0.036767
65,0.040295
66,0.044475
67,0.048477
68,0.052792
69,0.057452
70,0.062465
71,0.067864
72,0.07368
73,0.079934
74,0.086667
75,0.093901
76,0.101666
77,0.110004
78,0.118958
79,0.128547
80,0.138824
81,0.14981
82,0.161567
83,0.174116
84,0.18751
85,0.201768
86,0.216944
87,0.233069
88,0.250173
89,0.268288
90,0.287435
91,0.307624
92,0.328887
93,0.351213
94,0.374603
95,0.399024
96,0.424477
97,0.450889
98,0.478228
99,0.506401
100,1.0000000
